,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,H0,H1,H2,H3,H4,H5,H6,H7,H8,H9
0,2.37,4.41,-1.62,3.34,5.3,0.61,0.15,-1.28,-1.43,0.33,6.35,1.89,2.63,6.9,8.96,2.2,2.37,-0.47,4.09,-0.01
1,0.09,3.52,0.84,4.46,11.73,0.76,2.19,0.85,0.25,1.03,1.64,1.94,1.34,6.13,-0.41,0.01,1.85,5.51,0.0,2.93
2,0.36,,1.51,4.68,5.25,1.58,-0.53,-0.5,0.78,-0.21,3.28,4.73,3.35,3.34,5.05,-2.16,7.03,-1.02,2.88,-0.87
3,1.58,0.99,-1.84,1.76,1.3,2.29,-0.46,-0.22,1.44,1.8,3.12,6.93,2.11,7.05,5.28,3.3,3.97,1.89,0.55,2.08
4,7.18,2.87,1.33,2.91,-0.56,-0.63,-0.78,-0.24,-0.29,-1.04,3.72,2.51,-2.04,2.5,0.58,0.31,3.68,1.27,-1.03,-0.39
5,0.63,3.34,4.41,0.15,5.3,0.61,-1.28,-0.66,0.33,-1.62,2.42,1.89,2.63,6.9,8.96,2.2,2.37,-0.47,4.09,-0.01
6,2.05,3.52,0.84,4.46,11.73,0.76,2.19,0.85,0.25,1.03,3.24,1.94,1.34,6.13,-0.41,0.01,1.85,5.51,0.0,2.93
7,0.22,1.51,-0.29,4.68,5.25,1.58,0.52,-0.5,0.78,-0.21,2.2,4.73,3.35,3.34,5.05,2.88,7.03,0.2,0.34,-0.87
8,1.11,0.99,0.16,1.76,1.3,2.29,1.8,-0.22,1.44,-1.84,3.66,6.93,2.11,7.05,5.28,3.3,3.97,1.89,-0.39,2.08
9,0.11,2.87,1.33,2.91,-0.56,-0.78,-0.63,-0.46,-0.29,-1.04,-0.45,1.27,-1.03,2.5,0.58,0.31,3.68,-0.59,-2.04,-0.39
10,4.5,4.73,3.35,3.34,5.05,-1.02,2.88,-0.65,0.76,-0.87,2.72,2.87,1.33,2.91,-0.78,-0.56,-0.78,-0.46,-0.29,-1.04
11,0.3,6.93,2.11,7.05,5.28,3.3,3.97,1.89,0.55,2.08,2.84,,-0.53,5.25,1.58,4.68,-0.5,0.78,-0.21,1.51
12,2.77,1.89,2.63,6.9,8.96,2.2,2.37,-0.47,4.09,-0.01,6.1,1.03,0.84,4.46,11.73,0.76,2.19,0.85,0.25,0.51
13,0.34,4.73,3.35,3.34,5.05,-1.02,7.03,2.88,-0.65,-0.87,1.61,2.87,1.33,-0.78,-0.78,-0.56,-0.63,-0.46,-0.29,-1.04
14,1.66,1.27,-1.03,2.5,0.58,0.31,3.68,-0.59,-2.04,-0.39,4.11,0.99,-1.84,3.19,1.3,2.29,1.76,0.16,1.44,1.8
15,4.97,6.93,2.11,7.05,5.28,3.3,3.97,1.89,0.55,2.08,-0.26,,1.51,5.25,1.58,4.68,-0.29,-0.5,0.78,-0.05
16,3.67,1.94,1.34,6.13,-0.41,0.01,1.85,5.51,0.0,2.93,1.2,-0.17,4.41,3.34,5.3,0.15,0.61,-1.28,-1.62,0.33
17,0.81,-0.5,1.34,6.13,-0.41,0.01,1.85,5.51,0.0,2.93,2.37,-0.17,4.41,3.34,5.3,0.15,2.7,-1.28,-1.62,0.33
18,0.63,4.41,3.34,0.15,5.3,-0.17,-1.28,0.61,-1.62,0.33,0.09,1.03,0.84,4.46,11.73,0.76,2.19,0.85,0.25,0.51
19,1.58,0.99,-0.46,3.19,2.29,1.3,1.76,-0.22,1.44,0.32,6.35,1.89,2.63,6.9,8.96,2.2,2.37,-0.29,4.09,-0.08
20,2.55,6.93,2.11,7.05,5.28,3.3,3.97,1.89,0.55,2.08,7.18,2.87,1.33,-0.2,-0.78,-0.56,-0.24,-0.46,-0.29,-1.04
21,1.64,1.94,1.34,6.13,-0.41,0.01,1.85,5.51,0.0,2.93,3.28,3.35,-0.65,3.34,5.05,-1.02,2.88,7.03,0.2,-0.87
22,3.72,1.27,-1.03,2.5,0.58,0.31,3.68,-0.59,-0.39,-2.04,0.36,,1.51,5.25,1.58,4.68,-0.53,-0.5,-0.21,0.78
23,1.11,0.99,0.16,3.19,2.29,1.3,1.76,-0.46,-1.84,0.32,2.42,1.89,2.63,6.9,8.96,2.2,2.37,-0.29,4.09,-0.08
24,3.12,6.93,2.11,7.05,5.28,3.3,3.97,1.89,0.55,2.08,0.11,2.87,1.33,-0.2,-0.78,-0.24,-0.46,-1.13,1.18,-1.04
25,-0.45,1.27,-1.03,2.5,0.58,0.31,3.68,-0.59,-0.39,-2.04,0.22,1.51,-0.48,5.25,1.58,4.68,-0.29,-0.5,-0.05,-1.71
26,-0.38,4.41,-0.17,3.34,5.3,0.15,0.61,-1.28,-1.62,0.33,2.05,3.52,0.84,4.46,11.73,0.76,2.19,0.85,0.25,1.03
27,3.66,6.93,2.11,7.05,5.28,3.3,3.97,1.89,0.52,2.08,2.72,2.87,-1.04,1.33,-0.78,-0.24,-0.56,-1.13,-0.29,-0.46
28,3.24,-0.5,1.34,6.13,-0.41,0.01,1.85,5.51,0.0,2.93,2.2,3.35,0.2,3.34,5.05,-1.02,2.88,7.03,-0.51,-0.87
29,-0.13,1.27,-1.03,0.31,0.58,3.68,-0.59,-0.33,-2.04,0.2,2.84,1.51,-0.48,-0.53,5.25,1.58,4.68,-0.29,-0.21,0.78
30,0.09,0.99,0.16,3.19,2.29,1.3,1.76,-0.46,-1.84,0.32,0.39,1.89,4.09,6.9,8.96,2.63,-0.29,2.37,2.01,-0.08
31,2.77,1.89,2.63,6.9,8.96,2.01,0.81,2.37,4.09,-0.08,3.67,-0.5,1.34,6.13,0.01,1.85,5.51,0.0,0.0,2.93
32,-0.26,1.51,-0.5,4.68,5.25,1.58,,0.78,-0.21,-1.23,4.11,0.99,0.16,3.19,2.29,1.3,1.76,-0.46,-1.84,1.8
33,4.5,3.35,0.2,3.34,5.05,-1.02,2.88,7.03,-0.51,-0.87,0.88,6.93,2.11,7.05,5.28,3.3,3.97,1.89,0.52,2.08
34,6.1,3.52,0.84,4.46,11.73,0.76,2.19,0.85,0.25,1.03,1.66,1.27,-1.03,2.5,0.58,0.31,3.68,-0.59,-2.04,-0.39
35,1.61,2.87,1.33,-0.2,-0.78,-0.56,-0.63,-0.46,-0.29,-1.04,2.37,3.34,4.41,5.3,2.7,-0.17,-1.62,0.61,-1.28,0.33
36,0.75,1.89,2.63,6.9,8.96,2.01,0.81,-0.04,4.09,-0.01,0.81,-0.5,1.34,6.13,0.01,1.85,5.51,0.0,0.79,2.93
37,0.61,1.51,-0.48,4.68,5.25,1.58,-0.53,-0.5,-0.21,0.78,4.29,0.99,0.16,3.19,2.29,1.3,1.76,-0.22,1.44,1.8
38,0.34,3.35,-0.65,3.34,5.05,-1.02,7.03,2.88,0.2,-0.87,4.97,6.93,2.11,7.05,5.28,3.3,3.97,1.89,0.55,2.08
39,1.91,3.52,0.84,4.46,11.73,2.19,0.76,1.03,0.25,0.85,-0.35,1.27,-1.03,2.5,0.58,0.31,3.68,-0.59,-2.04,0.2
40,7.18,2.87,1.33,-0.2,-0.78,-0.56,-0.24,-0.53,-0.29,-1.04,1.2,4.41,3.34,5.3,2.7,-0.17,-0.22,0.15,-1.28,-1.62
41,6.35,1.89,2.63,6.9,8.96,2.01,0.81,-0.29,4.09,-0.08,1.64,-0.5,1.34,1.94,0.01,1.85,5.51,0.48,0.79,2.93
42,0.36,1.51,-0.48,4.68,5.25,-0.53,1.58,-0.53,-0.21,-1.71,1.58,0.99,0.12,3.19,2.29,1.3,1.76,-0.22,1.44,1.8
43,3.28,3.35,-0.65,3.34,5.05,7.03,2.88,0.2,0.34,-0.87,2.55,6.93,2.11,7.05,5.28,3.3,-0.12,1.89,0.55,2.08
44,0.09,3.52,-0.24,4.46,11.73,2.19,0.76,0.51,0.25,1.03,3.72,-1.03,2.5,0.58,0.31,3.68,-0.59,-0.59,-2.04,-0.39
45,0.28,2.87,-0.53,1.33,-0.78,-0.2,-0.24,-1.13,1.18,-1.04,-0.38,3.34,4.41,2.7,5.3,0.15,-0.22,-0.17,-1.28,-1.62
46,0.22,1.51,-0.48,4.68,5.25,1.58,-0.53,-0.29,-0.05,-1.71,2.42,2.63,-0.61,6.9,8.96,2.01,0.81,-0.04,4.09,2.02
47,1.11,0.12,-1.84,3.19,2.29,1.3,1.76,-0.46,1.44,1.8,1.47,3.52,1.03,4.46,11.73,2.19,0.76,-0.24,0.25,0.85
48,2.47,-0.5,1.34,6.13,0.01,1.85,5.51,0.48,0.79,2.93,0.11,2.87,-0.46,1.33,-0.78,-0.2,-0.63,-1.13,1.18,-1.38
49,-0.45,0.15,4.41,2.7,5.3,0.17,-0.22,-0.17,-1.28,0.33,1.66,3.35,-0.65,3.34,5.05,7.03,2.88,0.2,-1.02,0.34
50,-0.45,2.51,-1.03,2.5,0.58,0.31,3.68,-0.59,-2.04,-0.39,3.12,6.93,2.11,2.09,5.28,7.05,3.3,1.89,0.55,2.08
51,2.84,1.51,-0.53,4.68,5.25,,1.58,-0.5,-0.21,0.78,0.39,4.09,-0.29,6.9,8.96,2.63,2.01,2.37,-0.04,2.02
52,0.09,0.12,-1.84,3.19,2.29,1.3,1.76,-0.46,1.44,1.8,2.05,3.52,1.03,4.46,11.73,2.19,0.84,0.76,0.25,0.85
53,3.24,1.34,0.79,6.13,0.01,1.85,5.51,0.0,-0.1,2.93,2.72,2.87,1.33,2.91,-0.78,-0.2,-1.13,-0.46,-0.29,-1.38
54,0.82,4.41,-0.22,2.7,5.3,3.34,0.17,-1.28,-1.29,0.33,2.2,3.35,0.56,3.34,5.05,2.88,0.76,0.2,0.34,-0.87
55,-0.13,2.51,-1.03,2.5,0.58,3.68,-0.59,0.16,0.2,-2.04,3.66,6.93,2.11,7.05,5.28,3.3,3.97,1.89,0.52,2.08
56,-0.26,1.51,-0.53,4.68,5.25,,-0.5,-1.23,-0.21,0.78,2.77,2.63,-0.04,6.9,8.96,0.81,2.01,2.37,4.09,2.02
57,4.11,0.99,0.12,3.19,2.29,1.3,1.76,-0.22,1.44,1.8,6.1,3.52,1.03,4.46,11.73,2.19,0.84,0.76,0.25,0.85
58,3.67,1.34,0.79,6.13,0.01,1.85,0.0,-0.1,-0.99,2.93,1.61,2.87,1.33,2.91,-0.78,-0.2,-1.13,-0.46,-0.29,-1.38
59,1.66,2.51,0.16,2.5,0.58,3.68,-0.59,-1.03,-0.39,-2.04,0.88,2.11,1.89,7.05,5.28,3.3,3.97,0.11,0.52,2.08
60,2.37,4.41,-0.22,3.34,5.3,2.7,0.17,-1.28,-1.29,0.33,4.5,3.35,0.56,3.34,5.05,7.03,2.88,-1.02,0.2,0.34
61,1.91,3.52,-0.24,4.46,11.73,2.19,0.84,0.76,0.25,0.85,3.28,4.73,3.35,3.34,5.05,7.03,-1.02,2.88,0.56,0.34
62,0.81,1.94,1.34,6.13,0.01,5.51,0.48,0.79,0.0,2.93,0.61,1.51,-0.5,4.68,5.25,,1.58,-0.53,-0.21,0.78
63,4.97,6.93,2.11,7.05,5.28,3.3,3.97,1.89,0.55,2.08,1.2,4.41,-0.22,3.34,5.3,2.7,0.17,-1.28,-1.29,-1.62
64,3.72,2.51,-2.04,2.5,0.58,0.31,3.68,-0.59,-0.39,-1.03,7.18,2.87,1.33,2.91,-0.78,-0.2,-0.63,-1.13,-0.29,-1.04
65,6.35,4.09,-0.04,-0.29,8.96,6.9,0.81,2.01,2.37,2.02,4.29,0.99,0.12,3.19,2.29,1.3,1.76,-0.22,1.44,1.8
66,0.09,3.52,-0.24,4.46,11.73,2.19,0.84,0.76,0.25,0.85,0.34,4.73,3.34,3.35,5.05,-1.02,2.88,0.56,0.76,0.34
67,1.18,1.94,1.34,6.13,0.01,5.51,1.67,0.0,0.79,2.93,0.22,1.51,4.68,,5.25,1.58,-0.53,-1.23,-0.05,0.78
68,2.55,1.89,2.11,6.93,5.28,7.05,3.3,3.97,0.55,2.08,-0.38,4.41,-0.22,3.34,5.3,2.7,0.17,-1.28,-0.17,-1.62
69,-0.35,2.51,-0.59,2.5,0.58,0.31,3.68,-1.03,-2.04,-0.39,0.11,2.87,1.33,2.91,-0.78,-0.2,-0.63,-0.46,1.18,-1.04
70,2.42,0.9,4.09,-0.29,8.96,6.9,0.81,2.01,-0.04,-0.01,1.58,0.99,0.12,3.19,2.29,1.3,1.76,-0.22,1.44,1.8
71,1.47,3.52,1.03,4.46,11.73,2.19,0.84,0.76,0.25,0.85,1.66,4.73,3.34,3.35,5.05,-1.02,2.88,0.56,0.76,0.34
72,2.2,4.73,3.34,3.35,5.05,-1.02,2.88,7.03,0.56,-0.87,2.47,1.94,1.34,6.13,0.01,1.85,5.51,1.67,0.79,2.93
73,2.72,2.87,-0.46,2.91,-0.78,-0.2,-0.63,-1.13,-0.29,-1.38,1.11,0.99,0.12,3.19,2.29,1.3,1.76,-0.22,1.44,1.8
74,2.84,-1.12,-0.48,1.51,5.25,1.58,4.68,-0.53,-0.21,0.78,3.12,1.89,2.11,6.93,5.28,7.05,3.3,3.97,0.55,2.08
75,0.39,0.9,-0.61,-0.29,8.96,6.9,0.81,2.01,4.09,2.02,-0.45,2.51,-2.04,2.5,0.58,0.31,3.68,-0.59,-0.39,-1.03
76,2.05,3.52,1.03,4.46,11.73,2.19,0.84,0.76,0.25,0.85,0.82,4.41,-0.22,3.34,5.3,0.17,0.06,-1.28,0.61,-1.62
77,4.5,4.73,3.34,3.35,5.05,7.03,2.88,0.76,0.2,-0.87,3.24,1.94,1.34,6.13,5.51,1.85,1.67,0.79,1.66,-0.5
78,1.61,2.87,1.33,2.91,-0.78,-0.2,-1.13,-0.53,-0.29,-1.04,4.11,0.16,0.12,3.19,2.29,1.3,1.76,-1.84,1.44,1.8
79,-0.26,1.51,4.68,5.25,1.58,,-1.23,-0.22,-0.05,0.78,0.88,1.89,2.11,6.93,5.28,7.05,3.3,3.97,0.52,2.08
80,2.77,0.9,-0.61,0.01,8.96,6.9,0.81,2.01,4.09,2.02,1.66,-1.03,-0.59,2.51,2.5,0.58,0.31,3.68,-0.39,-2.04
81,6.1,3.52,1.03,4.46,11.73,2.19,-0.24,0.51,0.25,0.85,2.37,4.41,0.33,3.34,5.3,0.17,0.61,2.7,-1.28,-1.62
82,0.52,0.9,-0.61,-0.29,8.96,6.9,0.81,2.01,4.09,2.02,-0.13,-1.03,-0.59,2.5,0.58,0.31,3.68,0.2,-0.59,-0.05
83,1.64,1.94,1.34,6.13,0.01,1.85,-0.41,5.51,0.79,2.93,6.35,0.9,-0.61,2.2,8.96,6.9,0.81,2.01,4.09,2.02
84,4.97,1.89,-0.55,6.93,5.28,7.05,3.3,3.97,0.55,2.08,0.09,3.52,1.03,4.46,11.73,2.19,0.84,0.51,0.25,0.85
85,1.2,4.41,0.33,3.34,5.3,0.17,0.61,2.7,-1.28,-1.62,7.18,2.87,1.33,2.91,-0.78,-0.2,-1.13,-0.63,-0.29,-1.04
86,4.29,0.16,0.12,3.19,2.29,1.3,1.76,-1.84,1.44,1.8,0.22,1.51,-0.48,5.25,1.58,-0.12,4.68,-0.04,-0.05,-1.12
87,3.28,4.73,3.34,3.35,5.05,7.03,2.88,0.76,0.2,-0.87,3.72,2.51,-1.03,2.5,0.58,0.31,3.68,-0.59,-0.21,-2.04
88,3.67,1.34,0.79,6.13,0.01,1.85,-0.41,5.51,-0.5,2.93,2.42,0.9,-0.61,-0.29,8.96,2.2,2.01,0.81,4.09,2.02
89,3.66,1.89,-0.55,6.93,5.28,7.05,3.3,3.97,0.52,2.08,-0.35,3.52,1.03,4.46,11.73,2.19,0.76,0.84,0.85,0.25
90,-0.38,4.41,4.41,2.7,5.3,3.34,0.61,-1.62,-1.28,-1.43,0.11,2.87,1.33,2.91,-0.78,-0.2,-1.13,-0.63,1.18,-1.04
91,0.09,0.16,1.8,3.19,2.29,1.3,1.76,0.12,1.44,-1.84,0.61,1.51,-0.48,5.25,1.58,4.68,-0.53,-0.12,-0.21,-0.04
92,0.34,4.73,3.34,3.35,5.05,-1.02,7.03,2.88,0.56,0.34,-0.45,-0.59,-2.04,2.5,0.58,0.31,3.68,-0.59,-0.39,-1.03
93,2.47,1.94,1.34,6.13,0.01,1.85,5.51,-0.02,0.79,2.93,0.39,0.9,-0.61,-0.29,8.96,2.2,2.01,0.81,4.09,2.02
